index,path,x,y,field,group,value,type
2, 8, 799.1946705887538, 374.6304321373741, Thai, undefined, 11, link 
2, 9, 796.7819251323181, 349.36301857049995, Thai, undefined, 11, link 
2, 10, 794.2672034825746, 333.64711975925195, Thai, undefined, 11, link 
2, 11, 749.1702505798935, 312.8424374052292, Thai, undefined, 11, link 
2, 12, 631.126292790962, 365.8008795157558, Thai, undefined, 11, link 
2, 13, 570.9427483732974, 535.3696183784339, Thai, undefined, 11, link 
2, 14, 573.9891512410787, 544.2358776223439, Thai, undefined, 11, link 
2, 15, 693.7070693551525, 599.1651983216539, Thai, undefined, 11, link 
2, 16, 750.8682908204947, 591.9016863789562, Thai, undefined, 11, link 
2, 17, 761.1706153146483, 571.9179648356692, Thai, undefined, 11, link 
3, 0, 518.7681501313104, 18.039103422370594, Indian, undefined, 7, link 
3, 1, 494.30357420377095, 11.275372670583298, Indian, undefined, 7, link 
3, 2, 469.459271066772, 6.0768987951167315, Indian, undefined, 7, link 
3, 3, 444.33527996040436, 2.464614215498275, Indian, undefined, 7, link 
3, 4, 419.03276632949695, 0.4530643267968335, Indian, undefined, 7, link 
3, 5, 393.65361446607693, 0.050348930449955975, Indian, undefined, 7, link 
3, 6, 368.3000172572845, 1.2580896192230837, Indian, undefined, 7, link 
3, 7, 343.07406469068593, 4.071423247626848, Indian, undefined, 7, link 
3, 8, 318.07733277392356, 8.47902151408855, Indian, undefined, 7, link 
3, 9, 293.4104745239857, 14.463136576023174, Indian, undefined, 7, link 
3, 10, 269.17281467303127, 21.99967251413266, Indian, undefined, 7, link 
3, 11, 247.24022427477593, 30.378902023617446, Indian, undefined, 7, link 
3, 12, 410.6383073093448, 192.64584363029093, Indian, undefined, 7, link 
3, 13, 534.5374668120278, 23.496916989860154, Indian, undefined, 7, link 
3, 14, 518.7681501313104, 18.039103422370594, Indian, undefined, 7, link 
4, 0, 570.9427483732974, 535.3696183784339, Vietnamese, undefined, 7, link 
4, 1, 631.126292790962, 365.8008795157558, Vietnamese, undefined, 7, link 
4, 2, 423.14521502875454, 290.1696717565449, Vietnamese, undefined, 7, link 
4, 3, 393.3561154890683, 356.5024463397129, Vietnamese, undefined, 7, link 
4, 4, 570.9427483732974, 535.3696183784339, Vietnamese, undefined, 7, link 
5, 0, 518.768150131311, 781.9608965776291, Korean, undefined, 6, link 
5, 1, 542.7544886367486, 773.6591441060427, Korean, undefined, 6, link 
5, 2, 566.1660052007549, 763.8527981418072, Korean, undefined, 6, link 
5, 3, 588.9084299090737, 752.5813453790324, Korean, undefined, 6, link 
5, 4, 610.8901870442011, 739.8901719798057, Korean, undefined, 6, link 
5, 5, 632.0227638284784, 725.8303808201348, Korean, undefined, 6, link 
5, 6, 652.2210668338095, 710.4585857167023, Korean, undefined, 6, link 
5, 7, 671.4037646228533, 693.8366834630128, Korean, undefined, 6, link 
5, 8, 689.4936152420279, 676.0316045928449, Korean, undefined, 6, link 
5, 9, 706.4177772475913, 657.1150438746156, Korean, undefined, 6, link 
5, 10, 714.4373394198378, 646.9173410109596, Korean, undefined, 6, link 
5, 11, 693.7070693551525, 599.1651983216539, Korean, undefined, 6, link 
5, 12, 573.9891512410787, 544.2358776223439, Korean, undefined, 6, link 
5, 13, 515.2984433779119, 782.9201677432998, Korean, undefined, 6, link 
5, 14, 518.768150131311, 781.9608965776291, Korean, undefined, 6, link 
6, 0, 10.191445418706436, 489.52463846309564, Filipino, undefined, 1, link 
6, 1, 16.202810554201072, 512.693022736572, Filipino, undefined, 1, link 
6, 2, 24.1229516856367, 536.8080573302676, Filipino, undefined, 1, link 
6, 3, 33.55661702717195, 560.3722141626452, Filipino, undefined, 1, link 
